mean,std,source layer,source
0.0,0.0,3,R-HSA-168249
0.04269662921348314,0.04452047810372797,1,R-HSA-114608
0.04556962025316456,0.03962652112024944,2,R-HSA-166658
0.053164556962025315,0.06354379948360067,2,R-HSA-212436
0.07333333333333333,0.06078194176270157,3,R-HSA-2173782
0.0741573033707865,0.14114434829161532,1,R-HSA-8878171
0.0759493670886076,0.12041960500278763,2,R-HSA-2168880
0.09000000000000001,0.06411794687223782,3,R-HSA-5223345
0.10632911392405063,0.04869717483967429,2,R-HSA-6798695
0.10632911392405063,0.026248659940921164,2,R-HSA-9651496
0.11,0.025276251480171836,3,R-HSA-5663205
0.11011235955056181,0.22152220398352848,1,R-HSA-111465
0.11011235955056181,0.033141306075848594,1,R-HSA-6785807
0.12000000000000001,0.0670820393249937,3,R-HSA-977225
0.1291139240506329,0.12607493263786057,2,R-HSA-76005
0.13,0.0758287544405155,3,R-HSA-140877
0.1348314606741573,0.2030259662875579,1,R-HSA-977606
0.14382022471910114,0.08497829393792826,1,R-HSA-9664407
0.14666666666666667,0.11017662587358941,3,R-HSA-73857
0.15949367088607594,0.1274024064818849,2,R-HSA-5602358
0.16179775280898878,0.10068569356053868,1,R-HSA-5602498
0.1670886075949367,0.30464018139729265,2,R-HSA-75153
0.17215189873417722,0.13854833713936332,2,R-HSA-9658195
0.1752808988764045,0.13934396402631455,1,R-HSA-8963896
0.1797752808988764,0.07495316889958614,1,R-HSA-166665
0.18000000000000002,0.14643921757659198,3,R-HSA-76002
0.189873417721519,0.38237487258210673,2,R-HSA-9662361
0.189873417721519,0.04292613913370423,2,R-HSA-140875
0.20674157303370785,0.17290232864423682,1,R-HSA-418594
0.21012658227848102,0.06910047627319586,2,R-HSA-2029480
